2018-03-21 02:49:37 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:49:37 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:49:37 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:49:37 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:49:37 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:50:21 INFO  Main:39 - Starting program_____________________________
2018-03-21 02:50:21 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:50:21 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:50:21 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:50:21 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:50:21 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:50:21 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:50:21 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:50:21 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:50:21 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:50:22 INFO  Main:100 - Program is end!
2018-03-21 02:55:51 INFO  Main:40 - Starting program_____________________________
2018-03-21 02:55:51 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:55:51 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:55:51 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:55:51 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:55:51 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:55:51 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:55:51 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:55:51 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:55:51 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:55:52 INFO  Main:105 - Program is end!
2018-03-21 02:58:50 INFO  Main:40 - Starting program_____________________________
2018-03-21 02:58:50 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:58:50 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:58:50 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:58:51 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:58:51 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:58:51 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:58:51 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:58:51 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:58:51 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:58:52 INFO  Main:105 - Program is end!
2018-03-21 03:00:48 INFO  Main:40 - Starting program_____________________________
2018-03-21 03:00:48 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:00:48 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:00:48 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:00:48 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:00:48 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:00:48 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 03:00:48 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:00:48 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:00:48 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:00:49 INFO  Main:106 - Program is end!
2018-03-21 03:08:11 INFO  Main:40 - Starting program_____________________________
2018-03-21 03:08:11 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
